Contrast name:,Group (SameAll)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[1;4],c[1;5],c[1;6],c[1;7],c[1;8],c[1;9],c[1;10],c[1;11],c[1;12],c[1;13],c[1;14],c[1;15],c[1;16],c[1;17],c[1;18],c[1;19],
,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,11459,1145,1.000000,0.039548,0.165087,0.239557,8.000000,0.408349,0.992544
2,1804,180,1.000000,-0.163037,0.070861,-2.300793,8.000000,0.974796,0.992544
3,785,78,1.000000,-0.090199,0.045401,-1.986713,8.000000,0.958905,0.992544
4,650,65,1.000000,0.021182,0.047348,0.447360,8.000000,0.333240,0.992544
5,1167,116,1.000000,-0.247704,0.080189,-3.089001,8.000000,0.992544,0.992544
6,327,32,1.000000,0.394165,0.072540,5.433757,8.000000,0.000310,0.004654
7,189,18,1.000000,0.145126,0.192328,0.754574,8.000000,0.236065,0.992544
8,547,54,1.000000,-0.138891,0.159059,-0.873202,8.000000,0.796001,0.992544
9,200,20,1.000000,-0.049204,0.309776,-0.158838,8.000000,0.561134,0.992544
10,89,8,1.000000,-0.040150,0.265701,-0.151109,8.000000,0.558185,0.992544
11,191,19,1.000000,-0.164365,0.251635,-0.653188,8.000000,0.734023,0.992544
12,36,3,1.000000,-0.118162,0.295478,-0.399901,8.000000,0.650153,0.992544
13,30,3,1.000000,-0.083295,0.228469,-0.364577,8.000000,0.637562,0.992544
14,15,1,1.000000,-0.305795,0.161842,-1.889468,8.000000,0.952248,0.992544
15,14,1,1.000000,0.015309,0.060459,0.253213,8.000000,0.403245,0.992544
16,2,0,0.000000,NaN,NaN,NaN,0.000000,NaN,NaN
