Contrast name:,Group (DiffAll-SamePath)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[1;4],c[1;5],c[1;6],c[1;7],c[1;8],c[1;9],c[1;10],c[1;11],c[1;12],c[1;13],c[1;14],c[1;15],c[1;16],c[1;17],c[1;18],c[1;19],
,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,11459,1145,1.000000,0.047584,0.081047,0.587111,8.000000,0.286660,0.537488
2,1804,180,1.000000,0.077208,0.088367,0.873728,8.000000,0.203864,0.537488
3,785,78,1.000000,0.046498,0.071492,0.650403,8.000000,0.266831,0.537488
4,650,65,1.000000,0.088135,0.050516,1.744682,8.000000,0.059597,0.479015
5,1167,116,1.000000,0.075470,0.115876,0.651299,8.000000,0.266556,0.537488
6,327,32,1.000000,-0.029567,0.123531,-0.239352,8.000000,0.591574,0.739468
7,189,18,1.000000,-0.028216,0.123207,-0.229015,8.000000,0.587698,0.739468
8,547,54,1.000000,-0.175110,0.225875,-0.775250,8.000000,0.769754,0.824737
9,200,20,1.000000,0.401286,0.236183,1.699045,8.000000,0.063869,0.479015
10,89,8,1.000000,0.141281,0.219869,0.642569,8.000000,0.269239,0.537488
11,191,19,1.000000,-0.117669,0.257927,-0.456210,8.000000,0.669815,0.772864
12,36,3,1.000000,-0.214911,0.202722,-1.060128,8.000000,0.839979,0.839979
13,30,3,1.000000,0.033002,0.238510,0.138366,8.000000,0.446686,0.739468
14,15,1,1.000000,-0.022369,0.145432,-0.153813,8.000000,0.559217,0.739468
15,14,1,1.000000,0.102600,0.144132,0.711850,8.000000,0.248394,0.537488
16,2,0,0.000000,NaN,NaN,NaN,0.000000,NaN,NaN
