Contrast name:,Group (SamePath-SameAll)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[1;4],c[1;5],c[1;6],c[1;7],c[1;8],c[1;9],c[1;10],c[1;11],c[1;12],c[1;13],c[1;14],c[1;15],c[1;16],c[1;17],c[1;18],c[1;19],
,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,11459,1145,1.000000,-0.157562,0.096587,-1.631308,8.000000,0.929265,0.963137
2,1804,180,1.000000,-0.050622,0.080003,-0.632754,8.000000,0.727724,0.963137
3,785,78,1.000000,0.025864,0.073901,0.349980,8.000000,0.367695,0.963137
4,650,65,1.000000,-0.066058,0.055558,-1.188998,8.000000,0.865734,0.963137
5,1167,116,1.000000,0.012781,0.100930,0.126629,8.000000,0.451179,0.963137
6,327,32,1.000000,-0.031360,0.079883,-0.392579,8.000000,0.647559,0.963137
7,189,18,1.000000,0.174817,0.129345,1.351552,8.000000,0.106745,0.470385
8,547,54,1.000000,0.256553,0.152482,1.682512,8.000000,0.065485,0.470385
9,200,20,1.000000,-0.047777,0.386060,-0.123756,8.000000,0.547719,0.963137
10,89,8,1.000000,-0.102229,0.335184,-0.304994,8.000000,0.615923,0.963137
11,191,19,1.000000,0.478119,0.240011,1.992074,8.000000,0.040755,0.470385
12,36,3,1.000000,0.350287,0.282983,1.237834,8.000000,0.125436,0.470385
13,30,3,1.000000,-0.040562,0.223344,-0.181615,8.000000,0.569799,0.963137
14,15,1,1.000000,-0.263452,0.247264,-1.065465,8.000000,0.841119,0.963137
15,14,1,1.000000,-0.189394,0.092082,-2.056797,8.000000,0.963137,0.963137
16,2,0,0.000000,NaN,NaN,NaN,0.000000,NaN,NaN
